INSTANCE,ALGORITHM,SEED,STATUS,OBJECTIVE,TIME.SEC,ITERATIONS,RELAXATION,OPT.GAP
ORCS-006-02-T-02-01,greedy,29,SUBOPTIMAL,39,0,,,
ORCS-006-02-T-02-02,greedy,2,SUBOPTIMAL,33,0,,,
ORCS-006-02-T-02-02,greedy,3,SUBOPTIMAL,33,0,,,
ORCS-006-02-T-02-02,greedy,5,SUBOPTIMAL,33,0,,,
ORCS-006-02-T-02-02,greedy,7,SUBOPTIMAL,33,0,,,
ORCS-006-02-T-02-02,greedy,11,SUBOPTIMAL,33,0,,,
ORCS-006-02-T-02-02,greedy,13,SUBOPTIMAL,33,0,,,
ORCS-006-02-T-02-02,greedy,17,SUBOPTIMAL,33,0,,,
ORCS-006-02-T-02-02,greedy,19,SUBOPTIMAL,33,0,,,
ORCS-006-02-T-02-02,greedy,23,SUBOPTIMAL,33,0,,,
ORCS-006-02-T-02-02,greedy,29,SUBOPTIMAL,33,0,,,
ORCS-006-02-T-02-03,greedy,2,SUBOPTIMAL,31,0,,,
ORCS-006-02-T-02-03,greedy,3,SUBOPTIMAL,31,0,,,
ORCS-006-02-T-02-03,greedy,5,SUBOPTIMAL,31,0,,,
ORCS-006-02-T-02-03,greedy,7,SUBOPTIMAL,31,0,,,
ORCS-006-02-T-02-03,greedy,11,SUBOPTIMAL,31,0,,,
ORCS-006-02-T-02-03,greedy,13,SUBOPTIMAL,31,0,,,
ORCS-006-02-T-02-03,greedy,17,SUBOPTIMAL,31,0,,,
ORCS-006-02-T-02-03,greedy,19,SUBOPTIMAL,31,0,,,
ORCS-006-02-T-02-03,greedy,23,SUBOPTIMAL,31,0,,,
ORCS-006-02-T-02-03,greedy,29,SUBOPTIMAL,31,0,,,
ORCS-006-02-T-03-01,greedy,2,SUBOPTIMAL,39,0,,,
ORCS-006-02-T-03-01,greedy,3,SUBOPTIMAL,39,0,,,
ORCS-006-02-T-03-01,greedy,5,SUBOPTIMAL,39,0,,,
